Tumtum | Hecuba | The bend in the trail in the dwarf forest | Fri Oct 25 08:40:56 2002
Nickers | Maelgwn | Village road | Fri Oct 25 13:22:42 2002
Nickers | Maelgwn | At a muddy track | Fri Oct 25 13:33:03 2002
Darkren | Maelgwn | On the Southeast Bridge | Fri Oct 25 13:54:35 2002
Grellion | Maelgwn | Along a Windy Trail on the Rim of the Valley | Fri Oct 25 15:29:04 2002
Grellion | Maelgwn | At a bend on the wooden walkway | Fri Oct 25 15:51:03 2002
Maelgwn | Razag | Standing in the Courtyard | Fri Oct 25 16:12:13 2002
Gilmore | Gilmore | The Temple Of Mota | Fri Oct 25 16:16:20 2002
Togrul | Darkren | Inside the Great Hall | Fri Oct 25 18:21:50 2002
Darkren | Icarus | Inside the Great Hall | Fri Oct 25 18:22:48 2002
Brindinos | Sadlick | A Dark Hallway | Fri Oct 25 19:36:03 2002
Togrul | Entreri | The Dragon Chamber | Fri Oct 25 19:55:38 2002
Entreri | Adrosener | A Dark Hallway | Fri Oct 25 20:16:03 2002
Togrul | Adrosener | The Entrance | Fri Oct 25 20:22:48 2002
Kenthi | Entreri | Wall Road | Fri Oct 25 20:26:23 2002
Togrul | Adrosener | The Big Intersection | Fri Oct 25 20:31:05 2002
Togrul | Kenthi | Market Square | Fri Oct 25 20:34:46 2002
Toktamrsh | Zauvolt | Mountainside Tombs | Fri Oct 25 22:12:59 2002
Thomas | Entreri | By the Temple Altar | Sat Oct 26 17:23:26 2002
Kenthi | Entreri | The Main Street | Sat Oct 26 18:23:28 2002
Kenthi | Entreri | On a road | Sat Oct 26 18:30:40 2002
Kenthi | Mike | Before the Gates of Midgaard | Sat Oct 26 19:29:44 2002
Kenthi | Zauvolt | The Main Street | Sat Oct 26 19:34:18 2002
Mike | Entreri | By the Temple Altar | Sat Oct 26 19:42:10 2002
Lythine | Kaerk | By the Temple Altar | Sat Oct 26 21:15:58 2002
Risca | Kaerk | By the Temple Altar | Sat Oct 26 21:17:29 2002
Lograhm | Kaerk | By the Temple Altar | Sat Oct 26 21:26:00 2002
Kenthi | Nerazul | Inside the West Gate of Midgaard | Sat Oct 26 21:52:02 2002
Tyril | Malanduis | Beneath a wooden battlement | Sat Oct 26 23:07:42 2002
Tyril | Raog | Outside the West Gate of New Thalos | Sun Oct 27 00:33:09 2002
Joash | Raog | The Void | Sun Oct 27 01:11:20 2002
Bluee | Raog | The Void | Sun Oct 27 01:14:08 2002
Tyril | Erith | Wall Road | Sun Oct 27 01:32:35 2002
Joash | Grish | The Void | Sun Oct 27 01:43:31 2002
Joash | Virinahn | The Void | Sun Oct 27 01:47:19 2002
Rith | Krollos | The Entrance | Sun Oct 27 12:51:43 2002
Thomas | Raog | Town Square | Sun Oct 27 14:11:13 2002
Raog | Zauvolt | Dragon Road | Sun Oct 27 14:21:38 2002
Icarus | Raog | Southwest Corner of the Sanctuary | Sun Oct 27 14:43:46 2002
